Date,daily_return,equity,peak,drawdown,trading_cost
2024-11-16,-0.00024666010167662654,12295.120312500074,12466.801284062163,-0.013771052225045932,0.00015285110814708373
2024-11-17,-0.001723398197276009,12273.930924318222,12466.801284062163,-0.015470717415742463,2.7075233746553797e-06
2024-11-18,0.007658743281779216,12367.933810325867,12466.801284062163,-0.007930460387035376,9.938918705643118e-08
2024-11-19,0.0052487503004095175,12432.85000662826,12466.801284062163,-0.0027233350929646294,0.0005265607677548284
2024-11-20,0.0016274884886924984,12453.084326895687,12466.801284062163,-0.0011002788007868913,0.0003253743300498959
2024-11-21,0.016418203255660464,12657.54159653454,12657.54159653454,0.0,0.0003234750325727117
2024-11-22,0.005996471978044032,12733.442190029087,12733.442190029087,0.0,0.0004563645714819158
2024-11-23,-0.00026889570123697073,12730.018222162238,12733.442190029087,-0.0002688957012370041,0.0
2024-11-24,-0.0009838126766211095,12717.494268861657,12733.442190029087,-0.0012524438348585631,0.0
2024-11-25,-0.00909221555990499,12601.86406958731,12733.442190029087,-0.010333271905440533,0.00027
2024-11-26,0.0008100150111074932,12612.071768651611,12733.442190029087,-0.009531626999690235,0.00015800970873786383
2024-11-27,1.5024278510781912e-05,12612.261255930463,12733.442190029087,-0.009516745926998027,0.0
2024-11-28,-0.0005156465228707887,12605.757787268303,12733.442190029087,-0.010027485172922623,0.0
2024-11-29,0.007148701084842998,12695.872581637417,12733.442190029087,-0.002950467582213512,0.0
2024-11-30,0.0004572558474711234,12701.67784361412,12733.442190029087,-0.002494560853297023,0.0
2024-12-01,0.0013104591056877471,12718.322873001796,12733.442190029087,-0.0011873707675941203,0.0
2024-12-02,0.005948765275127857,12793.981190466575,12793.981190466575,0.0,0.00032752427184466
2024-12-03,-0.0009526449771679067,12781.793068547495,12793.981190466575,-0.0009526449771679601,0.000675
2024-12-04,0.00762781034518637,12879.290161945793,12879.290161945793,0.0,0.00105
2024-12-05,0.0001759913486682217,12881.556805591286,12881.556805591286,0.0,0.00030000000000000003
2024-12-06,0.009247368161124717,13000.67730386103,13000.67730386103,0.0,0.0
2024-12-07,-4.814727860414369e-05,13000.05135662884,13000.67730386103,-4.8147278604138144e-05,0.0
2024-12-08,0.001311574564971407,13017.101893331515,13017.101893331515,0.0,0.0
2024-12-09,-0.010093106562123113,12885.718896792105,13017.101893331515,-0.010093106562123255,0.00036823008849557517
2024-12-10,-0.001941856236513561,12860.696683190408,13017.101893331515,-0.012015363436713278,0.00026548672566371705
2024-12-11,0.015796563037058276,13063.851489046912,13063.851489046912,0.0,0.00039815533980582516
2024-12-12,-0.0014872421307080843,13044.422378723088,13063.851489046912,-0.0014872421307081662,0.0
2024-12-13,0.00593270905204984,13121.811141448099,13121.811141448099,0.0,0.0
2024-12-14,-0.0006617861398521327,13113.12730870493,13121.811141448099,-0.0006617861398522384,0.0
2024-12-15,0.003929277436940492,13164.652423966752,13164.652423966752,0.0,0.0
2024-12-16,0.006351428001206286,13248.266765998482,13248.266765998482,0.0,0.00039815533980582516
2024-12-17,-0.001088983915576911,13233.839616581037,13248.266765998482,-0.00108898391557688,0.0008925728155339807
2024-12-18,-0.020708368209473162,12959.788392975765,13248.266765998482,-0.02177480104515206,0.0006000000000000001
2024-12-19,-0.006443123907415983,12876.28687054593,13248.266765998482,-0.028077627211374856,0.0004500000000000001
2024-12-20,0.0002690558812336015,12879.7513112569,13248.266765998482,-0.02781612578087367,0.000225
2024-12-21,-0.00067582988272108,12871.046790438735,13248.266765998482,-0.028473156694570623,0.00015230717093812674
2024-12-22,-3.2743135103424984e-06,12871.004646596339,13248.266765998482,-0.02847633777803915,3.2743135103424984e-06
2024-12-23,0.001879786585577119,12895.19938847391,13248.266765998482,-0.02665008063022367,0.00015496838363575745
2024-12-24,0.006946669501159182,12984.778076777187,13248.266765998482,-0.019888540431381885,0.00045061310081271185
2024-12-25,0.0005628303323390371,12992.08630373749,13248.266765998482,-0.019336903972863584,0.0
2024-12-26,-0.004858741732458974,12928.96111182181,13248.266765998482,-0.0241016926830131,0.00015000000000000001
2024-12-27,-0.008817088165391963,12814.965321811953,13248.266765998482,-0.032706274099083776,0.00045718278990378695
2024-12-28,-8.112948910021511e-07,12814.954925096059,13248.266765998482,-0.03270705885954173,8.112948910021511e-07
2024-12-29,-7.997097803779108e-07,12814.94467685127,13248.266765998482,-0.032707832413167326,7.997097803779108e-07
2024-12-30,-0.004034978581404265,12763.236649558294,13248.266765998482,-0.03661083559134026,0.000261206205424833
2024-12-31,-0.003333240238801982,12720.693715580634,13248.266765998482,-0.03982204311977311,0.00030000000000000003
2025-01-01,0.0,12720.693715580634,13248.266765998482,-0.03982204311977311,0.0
2025-01-02,-0.001275,12704.474831093266,13248.266765998482,-0.04104627001479555,0.001275
2025-01-03,0.0056873426173004995,12776.729532230564,13248.266765998482,-0.035592371598231476,0.0
2025-01-04,0.0008621719241405088,12787.74526971559,13248.266765998482,-0.03476088641759656,0.0
2025-01-05,-0.0002629747195334264,12784.382415989821,13248.266765998482,-0.035014719902773606,0.0
2025-01-06,0.008572854489893244,12893.981066185252,13248.266765998482,-0.026742041511611192,0.0
2025-01-07,-0.017115343555399547,12673.296150440674,13248.266765998482,-0.04339968583916676,0.0
2025-01-08,0.0029086936651748388,12710.158886670344,13248.266765998482,-0.04061722856526295,0.0
2025-01-09,-0.0009682164185548562,12697.852702153828,13248.266765998482,-0.041546118716244806,0.0
2025-01-10,0.00017240499777188435,12700.041875420651,13248.266765998482,-0.041380876476977635,0.0
